@relation 'sadness file'

@attribute Headline string
@attribute sadness numeric

@data
'Advantage Cardinals with Suppan in Game 4',0
'Yankee pitcher\'s pilot log found',0
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',0
'Alonso would be happy to retire with three titles',24
'10 die in 22-hour Kashmir standoff',54
'Hastert sorry for scandal but not quitting',27
'Injured Marathon Winner Leaves Hospital',21
'Doctors Seeing Patients Who Think They\'re Internet Addicted',16
'Alzheimer\'s Drugs Offer No Help, Study Finds',91
'Beyonce copyright claim rejected',0
'German paper shows soldiers desecrating skull',37
'Heavy use of mobile phones can make men infertile, scientists say',17
'Tom Cruise and Katie Holmes set wedding date',0
'Top General Optimistic on Iraq',44
'Madonna files adoption papers in Malawi',0
'Immigrants and French Reach Deal in Standoff',28
'Breast Cancer Awareness is Important',12
'Porn star candidate campaigns on campus',33
'Police and shoppers targeted in growing Iraq violence',53
'Jon Stewart mocks benefits of CNN\'s I',5
'Judge dismisses Karr\'s porn case',0
'Magazine lists women who had abortions',33
'Girl left comatose after dental visit dies',66
'Madonna files adoption papers',0
'With YouTube, Grad Student Hits Jackpot Again',0
'Students lose their rite of passage',25
'Ottawa must redefine \'terror\'',10
'Bread-Heavy Diet Linked to Kidney Cancer',42
'Marijuana may stave off Alzheimer\'s',0
'Marathon victory comes at heavy cost',38
'Inconvenient truths',8
'Gunmen kill 9 at Iraqi TV station',58
'US Troops Killed In October In Iraq',77
'More Human Remains Found at Ground Zero',68
'An Elephant Crackup?',31
'5,000 flee plant fire',37
'Melua\'s deep sea gig sets record',0
'Across Europe, Worries on Islam Spread to Center',43
'Anti-U.S. Attack Videos Spread on the Internet',54
'Lebo: A life lived on the edge',0
'Tropical Storm Isaac forms in Atlantic',10
'Diplomat acknowledges US arrogance in Iraq',18
'Riot warning for France suburbs',53
'Photographer kidnapping condemned',33
'Opera Canceled Over a Depiction of Muhammad',28
'Kidnapped AP photographer freed in Gaza',31
'New Iraq terror tape calls for abducting foreigners',37
'Global Sludge Ends in Tragedy for Ivory Coast',71
'U.N. Force Is Treading Lightly on Lebanese Soil',32
'Happy birthday, iPod',0
'Speaker Hastert testifies before panel probing sex scandal',14
'Teen repellent inventor wins infamous prize',0
'Resolution approved for international games',0
'NASA spacecraft to measure Sun',0
'Routine mission turns into hunt for missing comrade',26
'Silly and substantial',0
'Cultural revolutionary, the iPod is five',0
'Navarrette: Minutemen have a right to be idiotic',13
'The sweet tune of an anniversary',0
'Ukraine gas deal marred by fears',25
'Stanford study warns of Internet addiction',9
'Paris Journal: Smoking No Longer Tres Chic in France',2
'Flu Vaccine Appears Safe for Young Children',0
'French suburb riots could resume',22
'UK characters boosting box office',0
'Cleric Said to Lose Reins Over Part of Iraqi Militia',38
'Baseball: Rogers enjoys his muddied streak',0
'NASA revisiting life on Mars question',0
'Alaska town cut off from rest of state by flood',43
'Reid land deal under scrutiny',3
'Hurricane Paul Weakens To Tropical Storm',0
'Dow hits new record, eyes 12,000',0
'Senator Says U.S. Should Rethink Iraq Strategy',33
'New Indonesia Calamity, a Mud Bath, Is Man-Made',62
'Women Face Greatest Threat of Violence at Home, Study Finds',58
'Stars scuffle on \'Grey\'s Anatomy\'',0
'Marine killed in fighting west of Baghdad',50
'Prestige has magic touch',0
'Manning inspires Giants to victory in Dallas',0
'Three drivers had reason to be proud in Brazil',0
'Rice, in Baghdad, Insists That Iraqis Are',33
'Ex-Virginia gov not running for president',0
'We were \'arrogant and stupid\' over Iraq, says US diplomat',81
'Goal delight for Sheva',0
'Cohn gunman jailed for 36 years',21
'Budapest calm after night of violent protests',17
'On Educating Sexes Separately',0
'Spanish journalist seized in Gaza',52
'Tensions as Hungary marks uprising',32
'Putin vows to tackle illegal immigration',10
'China Successfully Launches Two Satellites',0
'Cher auction fetches double pre-sale estimates',0
'Deaths linked to flu vaccine',66
'Brazil Air Force Cites Faults and Confusion in Fatal Crash',68
'Pot smokers may avoid Alzheimer\'s, study says',0
'Kate is marrying Doherty',0
'Sri Lanka clashes kill 129 troops',75
'Turkish Writers Say Efforts to Stifle Speech May Backfire',35
'Russian ship sinks, 18-member crew missing',71
'A Mix of Oil and Environmentalism',33
'Ashton Kutcher tells secret to Ryan Seacrest',0
'Questions on credit card safety',5
'Flooding washes out road to Valdez, Alaska',39
'Toddler died from tainted spinach',89
'Google to unveil election mashup',0
'Warner will not run in \'08',33
'Bombers kill shoppers',86
'Amish schoolhouse torn down',73
'Full recovery expected for marathon winner',0
'China launches two satellites into orbit',0
'Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out',35
'Kentucky seeks alcohol huffing ban',0
'Man admits UK-US terror bomb plot',33
'Madonna\'s new baby\'s daddy didn\'t realize adoption was `for good\'',7
'Madonna\'s New Tot \'Happy at Home\' in London',0
'U.S. Warns North Koreans About Nuclear Test',39
'Briton admits U.S. bomb plot role',33
'Active peace brings the promise of development',0
'Equipment on Plane in Brazil Collision May Have Been Faulty',67
'Iraqi Journalists Add Laws to List of Dangers',28
'Vegetables May Boost Brain Power in Older Adults',0
'Chefs not counting calories, study finds',21
'Britain to Limit Workers from Romania, Bulgaria',10
'Pair of Satellites Will Document Sun in 3-D',0
'Dow flirts with record highs again',0
'Amish killings school demolished',44
'Appeal by Chinese Researcher for Times May Soon Be Heard',0
'Seduced by Snacks? No, Not You',28
'$10,000 poetry prize awarded',0
'Abbas condemns Israeli massacre in northern Gaza Strip',51
'We\'re a pretty kind \'bully\'',0
'Combative Bush Releases Parts of Terror Study',0
'Iran\'s president urges higher birth rate',0
'Scientists discover miracle in the depths',0
'Bush Insists Troops Stay in Iraq, Predicts Midterm Victory',39
'Squirrel jumps boy in park; rabies suspected',28
'Cooking Defines Sephardic Jews at Sukkot',0
'4th person dies after receiving flu shot',57
'Charlie Sheen to become highest-paid sitcom star',0
'Toddler died from E. coli tainted spinach',83
'Game on! London exhibition celebrates the history of video games',0
'Who are you calling fat?',12
'UK announces immigration restrictions',41
'Dad locked up son, watched on TV, police say',28
'Sony Hates Europeans, Will Prevent The Importing of PS3',0
'Bad reasons to be good',25
'Lily Allen wins web music award',0
'United Finds Good Connection in Win',0
'Israeli Bomblets Plague Lebanon',39
'Commentary: Minutemen have a right to be idiotic',0
'An Old Letter Casts Doubts on Iran\'s Goal for Uranium',0
'Friends for Life: An Emerging Biology of Emotional Healing',0
'No evidence of ice reserves on the moon',16
'U.S. Weighs Sanctions Against North Korea',44
'How to Prevent Iraq From Getting Even Worse',33
'Nails-on-chalkboard study earns Ig',0
'\'Deep regret\' for ex-HP exec',40
'\'Opportunity\' knocks on geologist\'s dream crater',0
'\'Runway\': Making Good Without Making Nice',0
'A Picture and A Thousand Words',0
'Presto! He\'s Batman, then magic man',0
'Parachutist dies at bridge-jump festival',88
'PM: Havana deal a good experiment',0
'Slain Amish girls laid to rest',76
'Nicole Kidman asks dad to help stop husband\'s drinking',28
'Kim Osorio Wins Sexual Harrassment Suit Against The Source',3
'Tailors and housewives busy as Muslims celebrate Eid',21
'Gunman \'fine\' before shooting',22
'Student starts white men\'s club on campus',33
'Bad weather slows S.Korean search for Russian ship',42
'Italy drops Sicily bridge plans',0
'Griffiths scorns Withnail \'play\'',3
'Photographer kidnapped in Gaza',54
'Kurdish Lawmaker Killed in an Attack in Baghdad',59
'In God\'s Name: Religion-Based Tax Breaks: Housing to Paychecks to Books',0
'Bucs find a new kick in life',0
'Women in their 60s \'are perfectly good mothers\'',26
'Apple set for massive market gains',0
'Google To Launch Yet Another Search Tool',0
'Official laughs for Borat',25
'Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says',31
'Military Officials Add to U.S. Criticism of Iraq\'s Government',0
'Bangladesh ferry sinks, 15 dead',85
