@relation 'surprise file'

@attribute Headline string
@attribute surprise numeric

@data
'Advantage Cardinals with Suppan in Game 4',0
'Yankee pitcher\'s pilot log found',9
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',0
'Alonso would be happy to retire with three titles',0
'10 die in 22-hour Kashmir standoff',0
'Hastert sorry for scandal but not quitting',3
'Injured Marathon Winner Leaves Hospital',0
'Doctors Seeing Patients Who Think They\'re Internet Addicted',12
'Alzheimer\'s Drugs Offer No Help, Study Finds',47
'Beyonce copyright claim rejected',2
'German paper shows soldiers desecrating skull',0
'Heavy use of mobile phones can make men infertile, scientists say',35
'Tom Cruise and Katie Holmes set wedding date',17
'Top General Optimistic on Iraq',0
'Madonna files adoption papers in Malawi',17
'Immigrants and French Reach Deal in Standoff',0
'Breast Cancer Awareness is Important',0
'Porn star candidate campaigns on campus',20
'Police and shoppers targeted in growing Iraq violence',0
'Jon Stewart mocks benefits of CNN\'s I',21
'Judge dismisses Karr\'s porn case',13
'Magazine lists women who had abortions',14
'Girl left comatose after dental visit dies',9
'Madonna files adoption papers',16
'With YouTube, Grad Student Hits Jackpot Again',42
'Students lose their rite of passage',0
'Ottawa must redefine \'terror\'',0
'Bread-Heavy Diet Linked to Kidney Cancer',23
'Marijuana may stave off Alzheimer\'s',47
'Marathon victory comes at heavy cost',0
'Inconvenient truths',3
'Gunmen kill 9 at Iraqi TV station',0
'US Troops Killed In October In Iraq',0
'More Human Remains Found at Ground Zero',27
'An Elephant Crackup?',0
'5,000 flee plant fire',0
'Melua\'s deep sea gig sets record',6
'Across Europe, Worries on Islam Spread to Center',0
'Anti-U.S. Attack Videos Spread on the Internet',0
'Lebo: A life lived on the edge',0
'Tropical Storm Isaac forms in Atlantic',0
'Diplomat acknowledges US arrogance in Iraq',26
'Riot warning for France suburbs',4
'Photographer kidnapping condemned',3
'Opera Canceled Over a Depiction of Muhammad',0
'Kidnapped AP photographer freed in Gaza',37
'New Iraq terror tape calls for abducting foreigners',0
'Global Sludge Ends in Tragedy for Ivory Coast',0
'U.N. Force Is Treading Lightly on Lebanese Soil',0
'Happy birthday, iPod',3
'Speaker Hastert testifies before panel probing sex scandal',0
'Teen repellent inventor wins infamous prize',17
'Resolution approved for international games',15
'NASA spacecraft to measure Sun',26
'Routine mission turns into hunt for missing comrade',20
'Silly and substantial',0
'Cultural revolutionary, the iPod is five',16
'Navarrette: Minutemen have a right to be idiotic',5
'The sweet tune of an anniversary',0
'Ukraine gas deal marred by fears',0
'Stanford study warns of Internet addiction',3
'Paris Journal: Smoking No Longer Tres Chic in France',21
'Flu Vaccine Appears Safe for Young Children',0
'French suburb riots could resume',0
'UK characters boosting box office',39
'Cleric Said to Lose Reins Over Part of Iraqi Militia',9
'Baseball: Rogers enjoys his muddied streak',15
'NASA revisiting life on Mars question',32
'Alaska town cut off from rest of state by flood',0
'Reid land deal under scrutiny',5
'Hurricane Paul Weakens To Tropical Storm',37
'Dow hits new record, eyes 12,000',0
'Senator Says U.S. Should Rethink Iraq Strategy',33
'New Indonesia Calamity, a Mud Bath, Is Man-Made',13
'Women Face Greatest Threat of Violence at Home, Study Finds',17
'Stars scuffle on \'Grey\'s Anatomy\'',0
'Marine killed in fighting west of Baghdad',0
'Prestige has magic touch',0
'Manning inspires Giants to victory in Dallas',0
'Three drivers had reason to be proud in Brazil',0
'Rice, in Baghdad, Insists That Iraqis Are',0
'Ex-Virginia gov not running for president',2
'We were \'arrogant and stupid\' over Iraq, says US diplomat',45
'Goal delight for Sheva',38
'Cohn gunman jailed for 36 years',0
'Budapest calm after night of violent protests',0
'On Educating Sexes Separately',0
'Spanish journalist seized in Gaza',21
'Tensions as Hungary marks uprising',7
'Putin vows to tackle illegal immigration',3
'China Successfully Launches Two Satellites',0
'Cher auction fetches double pre-sale estimates',21
'Deaths linked to flu vaccine',21
'Brazil Air Force Cites Faults and Confusion in Fatal Crash',11
'Pot smokers may avoid Alzheimer\'s, study says',66
