@relation 'joy file'

@attribute Headline string
@attribute joy numeric

@data
'Advantage Cardinals with Suppan in Game 4',4
'Yankee pitcher\'s pilot log found',0
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',0
'Alonso would be happy to retire with three titles',61
'10 die in 22-hour Kashmir standoff',0
'Hastert sorry for scandal but not quitting',0
'Injured Marathon Winner Leaves Hospital',67
'Doctors Seeing Patients Who Think They\'re Internet Addicted',9
'Alzheimer\'s Drugs Offer No Help, Study Finds',0
'Beyonce copyright claim rejected',0
'German paper shows soldiers desecrating skull',0
'Heavy use of mobile phones can make men infertile, scientists say',0
'Tom Cruise and Katie Holmes set wedding date',56
'Top General Optimistic on Iraq',27
'Madonna files adoption papers in Malawi',44
'Immigrants and French Reach Deal in Standoff',50
'Breast Cancer Awareness is Important',0
'Porn star candidate campaigns on campus',28
'Police and shoppers targeted in growing Iraq violence',0
'Jon Stewart mocks benefits of CNN\'s I',0
'Judge dismisses Karr\'s porn case',3
'Magazine lists women who had abortions',0
'Girl left comatose after dental visit dies',12
'Madonna files adoption papers',30
'With YouTube, Grad Student Hits Jackpot Again',72
'Students lose their rite of passage',0
'Ottawa must redefine \'terror\'',0
'Bread-Heavy Diet Linked to Kidney Cancer',0
'Marijuana may stave off Alzheimer\'s',25
'Marathon victory comes at heavy cost',38
'Inconvenient truths',0
'Gunmen kill 9 at Iraqi TV station',0
'US Troops Killed In October In Iraq',0
'More Human Remains Found at Ground Zero',0
'An Elephant Crackup?',14
'5,000 flee plant fire',0
'Melua\'s deep sea gig sets record',54
'Across Europe, Worries on Islam Spread to Center',0
'Anti-U.S. Attack Videos Spread on the Internet',0
'Lebo: A life lived on the edge',0
'Tropical Storm Isaac forms in Atlantic',0
'Diplomat acknowledges US arrogance in Iraq',14
'Riot warning for France suburbs',0
'Photographer kidnapping condemned',21
'Opera Canceled Over a Depiction of Muhammad',0
'Kidnapped AP photographer freed in Gaza',49
'New Iraq terror tape calls for abducting foreigners',0
'Global Sludge Ends in Tragedy for Ivory Coast',4
'U.N. Force Is Treading Lightly on Lebanese Soil',24
'Happy birthday, iPod',71
'Speaker Hastert testifies before panel probing sex scandal',0
'Teen repellent inventor wins infamous prize',41
'Resolution approved for international games',45
'NASA spacecraft to measure Sun',29
'Routine mission turns into hunt for missing comrade',0
'Silly and substantial',2
'Cultural revolutionary, the iPod is five',62
'Navarrette: Minutemen have a right to be idiotic',6
'The sweet tune of an anniversary',86
'Ukraine gas deal marred by fears',0
'Stanford study warns of Internet addiction',0
'Paris Journal: Smoking No Longer Tres Chic in France',40
'Flu Vaccine Appears Safe for Young Children',45
'French suburb riots could resume',0
'UK characters boosting box office',67
'Cleric Said to Lose Reins Over Part of Iraqi Militia',0
'Baseball: Rogers enjoys his muddied streak',67
'NASA revisiting life on Mars question',23
'Alaska town cut off from rest of state by flood',0
'Reid land deal under scrutiny',0
'Hurricane Paul Weakens To Tropical Storm',33
'Dow hits new record, eyes 12,000',49
'Senator Says U.S. Should Rethink Iraq Strategy',30
'New Indonesia Calamity, a Mud Bath, Is Man-Made',0
'Women Face Greatest Threat of Violence at Home, Study Finds',0
'Stars scuffle on \'Grey\'s Anatomy\'',0
'Marine killed in fighting west of Baghdad',0
'Prestige has magic touch',31
'Manning inspires Giants to victory in Dallas',44
'Three drivers had reason to be proud in Brazil',44
'Rice, in Baghdad, Insists That Iraqis Are',0
'Ex-Virginia gov not running for president',0
'We were \'arrogant and stupid\' over Iraq, says US diplomat',23
'Goal delight for Sheva',93
'Cohn gunman jailed for 36 years',27
'Budapest calm after night of violent protests',18
'On Educating Sexes Separately',0
'Spanish journalist seized in Gaza',0
'Tensions as Hungary marks uprising',0
'Putin vows to tackle illegal immigration',0
