@relation 'anger file'

@attribute Headline string
@attribute anger numeric

@data
'5,000 flee plant fire',30
'Gunman \'fine\' before shooting',6
'Police warn of child exploitation online',52
'On Educating Sexes Separately',0
'UK announces immigration restrictions',42
'We\'re a pretty kind \'bully\'',0
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',0
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',16
'New Iraq terror tape calls for abducting foreigners',37
'Kim Osorio Wins Sexual Harrassment Suit Against The Source',8
'Happy birthday, iPod',0
'United Finds Good Connection in Win',0
'Confusion Reigns In the Expanding Digital World',6
'Scientists discover miracle in the depths',0
'PM: Havana deal a good experiment',0
'Mortar assault leaves at least 18 dead',22
'Abbas condemns Israeli massacre in northern Gaza Strip',70
'Nails-on-chalkboard study earns Ig',4
'Celebrities Protest Malibu Gas Facility',25
'Briton admits U.S. bomb plot role',23
'Judge dismisses Karr\'s porn case',6
'Beyonce copyright claim rejected',10
'$10,000 poetry prize awarded',0
'\'Deep regret\' for ex-HP exec',0
'Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says',32
'Deaths linked to flu vaccine',37
'Equipment on Plane in Brazil Collision May Have Been Faulty',49
'Across Europe, Worries on Islam Spread to Center',10
'Presto! He\'s Batman, then magic man',0
'Military Officials Add to U.S. Criticism of Iraq\'s Government',25
'Breast Cancer Awareness is Important',0
'Google To Launch Yet Another Search Tool',0
'Spanish journalist seized in Gaza',61
'Riot warning for France suburbs',46
'Toddler died from tainted spinach',59
'Baseball: Rogers enjoys his muddied streak',0
'Silly and substantial',0
'Trailblazing trio protects City by the Bay',0
'Girl left comatose after dental visit dies',39
'Tropical Storm Isaac forms in Atlantic',0
'Three drivers had reason to be proud in Brazil',0
'Waste plant fire forces 5,000 to evacuate',26
'Putin vows to tackle illegal immigration',10
'Madonna\'s New Tot \'Happy at Home\' in London',0
'Iran\'s president urges higher birth rate',0
'Kurdish Lawmaker Killed in an Attack in Baghdad',52
'Diplomat acknowledges US arrogance in Iraq',45
'Police and shoppers targeted in growing Iraq violence',45
'Kentucky wants to ban alcohol inhalers',0
'Magazine lists women who had abortions',40
'Tailors and housewives busy as Muslims celebrate Eid',8
'Lily Allen wins web music award',0
'Vegetables, not fruit, slow brain decline',0
'Commentary: Minutemen have a right to be idiotic',7
'Kidnapped AP photographer freed in Gaza',30
'China launches two satellites into orbit',0
'U.S. Warns North Koreans About Nuclear Test',23
'Perfect lives lose their focus',0
'Pamuk wins Nobel Literature prize',0
'NASA revisiting life on Mars question',0
'Gunmen kill 9 at Iraqi TV station',28
'Bangladesh ferry sinks, 15 dead',24
'Beating poverty in a small way',0
'Rice, in Baghdad, Insists That Iraqis Are',37
'German Chief Forges Accord on Financing Health Care',0
'Parachutist dies at bridge-jump festival',6
'Report criticises US press freedoms',25
'Goal delight for Sheva',0
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',0
'Pair of Satellites Will Document Sun in 3-D',0
'Bread-Heavy Diet Linked to Kidney Cancer',1
'Marijuana may stave off Alzheimer\'s',0
'Cher items snapped up at auction',0
'Speaker Hastert testifies before panel probing sex scandal',9
'Melua\'s deep sea gig sets record',0
'Charlie Sheen to become highest-paid sitcom star',3
'An Elephant Crackup?',11
'Navarrette: Minutemen have a right to be idiotic',3
'Dow flirts with record highs again',0
'Resolution approved for international games',0
'Dow hits new record, eyes 12,000',0
'Making peace from victory over poverty',0
'Moderate drinking reduces men\'s heart attack risk',0
'Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out',39
'A Picture and A Thousand Words',0
'Google to unveil election mashup',0
'Doctors Seeing Patients Who Think They\'re Internet Addicted',0
'Life on Mars? Maybe We Missed It',0
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',0
'Marine killed in fighting west of Baghdad',24
'Tom Cruise and Katie Holmes set wedding date',0
'Tumor Types May Explain Survival Rates for Cancer',0
'Brazil Air Force Cites Faults and Confusion in Fatal Crash',15
'Paris Journal: Smoking No Longer Tres Chic in France',0
'Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu',0
'NASA spacecraft to measure Sun',0
'Active peace brings the promise of development',0
'New Indonesia Calamity, a Mud Bath, Is Man-Made',59
'Bombers kill shoppers',66
'Students lose their rite of passage',0
'Opera Canceled Over a Depiction of Muhammad',3
'Questions on credit card safety',1
'China Successfully Launches Two Satellites',0
'Cooking Defines Sephardic Jews at Sukkot',0
'\'Runway\': Making Good Without Making Nice',0
'Official laughs for Borat',24
'Israel insists on Lebanon overflights',39
'Kate is marrying Doherty',0
'Appeal by Chinese Researcher for Times May Soon Be Heard',0
'Injured Marathon Winner Leaves Hospital',14
'Budapest calm after night of violent protests',34
'Las Vegas honour for tiger pair',0
'Dead Bachelors in Remote China Still Find Wives',0
'\'Opportunity\' knocks on geologist\'s dream crater',0
'Hastert sorry for scandal but not quitting',4
'School ends football season after 0-4 start',0
'Stanford study warns of Internet addiction',0
'Martian Life Could Have Evaded Detection by Viking Landers',4
'Teacher in Hiding After Attack on Islam Stirs Threats',13
'Lies, damned lies, and divorce',43
'Cultural revolutionary, the iPod is five',0
'Flooding washes out road to Valdez, Alaska',0
'Vegetables May Boost Brain Power in Older Adults',0
'Russian ship sinks in Pacific',9
'Alonso would be happy to retire with three titles',0
'Chefs not counting calories, study finds',15
'Scientists create first cloaking device',0
'The sweet tune of an anniversary',0
'Dem leader\'s $1 million land deal under scrutiny',15
'Prestige has magic touch',0
'Dating difficult for Harry Potter',4
'Porn star candidate campaigns on campus',31
'Yankee Dies in Plane Crash, Official Says',0
'Alzheimer\'s Drugs Offer No Help, Study Finds',33
'Hurricane Paul Weakens To Tropical Storm',0
'Bush Insists Troops Stay in Iraq, Predicts Midterm Victory',34
'Jon Stewart mocks benefits of CNN\'s I',13
'Photographer kidnapping condemned',47
'Hungary police tackle violent protestors',18
'Fitness: Bodies in Motion, Clean and Sober',0
'Kentucky seeks alcohol huffing ban',4
'College tuition continues climbing',54
'Bad reasons to be good',9
'Amish killings school demolished',33
'Bucs find a new kick in life',0
'Apple set for massive market gains',0
'Manning inspires Giants to victory in Dallas',0
'Turkish Writers Say Efforts to Stifle Speech May Backfire',49
'Griffiths scorns Withnail \'play\'',12
'Three found alive from missing Russian ship -report',0
'Hacker unlocks Apple music download protection',21
'Israeli Bomblets Plague Lebanon',54
'Israel admits using phosphorous shells in Lebanon',54
'U.S. Weighs Sanctions Against North Korea',61
'10 die in 22-hour Kashmir standoff',50
'Warner will not run in \'08',0
'Ukraine gas deal marred by fears',21
'Stars scuffle on \'Grey\'s Anatomy\'',15
'Women Face Greatest Threat of Violence at Home, Study Finds',51
'A Mix of Oil and Environmentalism',29
'Did Viking Probes Miss Life on Mars?',11
'Nigeria hostage feared dead is freed',18
'Cohn gunman jailed for 36 years',13
'Friends for Life: An Emerging Biology of Emotional Healing',0
'Gunmen kill 11 in Iraq TV raid',50
'Marathon victory comes at heavy cost',5
'Genghis Khan Beer? Mongolia Grimaces',20
'Flu Vaccine Appears Safe for Young Children',0
'Cher auction fetches double pre-sale estimates',0
'Italy drops Sicily bridge plans',0
'Peter Pan flies into chapter two',0
'Britain to restrict immigrants from new EU members',7
'Costner appeals in casino wrangle',55
'Sony apologises for global battery recall',6
'Ex-JonBenet suspect: Child porn case dropped',5
'Reid land deal under scrutiny',2
'Anti-U.S. Attack Videos Spread on the Internet',63
'Ashton Kutcher tells secret to Ryan Seacrest',0
'Student starts white men\'s club on campus',7
